Uhrzeit;Leistung
01.01.2021 00:00;7.33
01.01.2021 00:30;7.16
01.01.2021 01:00;7.29
01.01.2021 01:30;7.18
01.01.2021 02:00;7.16
01.01.2021 02:30;7.40
01.01.2021 03:00;7.60
01.01.2021 03:30;7.51
01.01.2021 04:00;7.49
01.01.2021 04:30;7.84
01.01.2021 05:00;8.51
01.01.2021 05:30;10.04
01.01.2021 06:00;9.82
01.01.2021 06:30;11.40
01.01.2021 07:00;10.27
01.01.2021 07:30;11.60
01.01.2021 08:00;11.62
01.01.2021 08:30;11.51
01.01.2021 09:00;11.71
01.01.2021 09:30;11.78
01.01.2021 10:00;11.31
01.01.2021 10:30;11.91
01.01.2021 11:00;12.07
01.01.2021 11:30;11.91
01.01.2021 12:00;11.69
01.01.2021 12:30;11.91
01.01.2021 13:00;11.71
01.01.2021 13:30;11.33
01.01.2021 14:00;11.24
01.01.2021 14:30;11.07
01.01.2021 15:00;10.91
01.01.2021 15:30;10.96
01.01.2021 16:00;10.69
01.01.2021 16:30;10.51
01.01.2021 17:00;9.73
01.01.2021 17:30;8.73
01.01.2021 18:00;8.56
01.01.2021 18:30;7.51
01.01.2021 19:00;7.78
01.01.2021 19:30;7.69
01.01.2021 20:00;7.82
01.01.2021 20:30;7.69
01.01.2021 21:00;7.24
01.01.2021 21:30;7.31
01.01.2021 22:00;7.29
01.01.2021 22:30;7.18
01.01.2021 23:00;7.20
01.01.2021 23:30;7.24
02.01.2021 00:00;7.36
02.01.2021 00:30;7.16
02.01.2021 01:00;7.29
02.01.2021 01:30;7.18
02.01.2021 02:00;7.16
02.01.2021 02:30;7.40
02.01.2021 03:00;7.60
02.01.2021 03:30;7.51
02.01.2021 04:00;7.49
02.01.2021 04:30;7.84
02.01.2021 05:00;8.51
02.01.2021 05:30;10.04
02.01.2021 06:00;9.82
02.01.2021 06:30;11.40
02.01.2021 07:00;10.27
02.01.2021 07:30;11.60
02.01.2021 08:00;11.62
02.01.2021 08:30;11.51
02.01.2021 09:00;11.71
02.01.2021 09:30;11.78
02.01.2021 10:00;11.31
02.01.2021 10:30;11.91
02.01.2021 11:00;12.07
02.01.2021 11:30;11.91
02.01.2021 12:00;11.69
02.01.2021 12:30;11.91
02.01.2021 13:00;11.71
02.01.2021 13:30;11.33
02.01.2021 14:00;11.24
02.01.2021 14:30;11.07
02.01.2021 15:00;10.91
02.01.2021 15:30;10.96
02.01.2021 16:00;10.69
02.01.2021 16:30;10.51
02.01.2021 17:00;9.73
02.01.2021 17:30;8.73
02.01.2021 18:00;8.56
02.01.2021 18:30;7.51
02.01.2021 19:00;7.78
02.01.2021 19:30;7.69
