,Uhrzeit,PV [kW],Verbrauch [kW],Leistungsüberschüss [kW],Battery Kapazität [kWh],Battery Leistungsdurchsatz [kW],Battery Betrieb Verbrauch [kW],Battery Betrieb Energie [kWh]
0,01.01.2020 23:30,0,5,-5.0,0,0,0,0.0
1,01.01.2020 23:15,0,5,-5.0,0,0,0,0.0
2,01.01.2020 23:00,0,5,-5.0,0,0,0,0.0
3,01.01.2020 22:45,0,5,-5.0,0,0,0,0.0
4,01.01.2020 22:30,0,5,-5.0,0,0,0,0.0
5,01.01.2020 22:15,0,5,-5.0,0,0,0,0.0
6,01.01.2020 22:00,0,5,-5.0,0,0,0,0.0
7,01.01.2020 21:45,0,5,-5.0,0,0,0,0.0
8,01.01.2020 21:30,0,5,-5.0,0,0,0,0.0
9,01.01.2020 21:15,0,5,-5.0,0,0,0,0.0
10,01.01.2020 21:00,0,5,-5.0,0,0,0,0.0
11,01.01.2020 20:45,0,5,-5.0,0,0,0,0.0
12,01.01.2020 20:30,0,5,-5.0,0,0,0,0.0
13,01.01.2020 20:15,0,5,-5.0,0,0,0,0.0
14,01.01.2020 20:00,0,5,-5.0,0,0,0,0.0
15,01.01.2020 19:45,0,5,-5.0,0,0,0,0.0
16,01.01.2020 19:30,0,5,-5.0,0,0,0,0.0
17,01.01.2020 19:15,0,5,-5.0,0,0,0,0.0
18,01.01.2020 19:00,0,5,-5.0,0.8124229027318828,-5.0,0,0.0
19,01.01.2020 18:45,0,5,-5.0,2.133546242021146,-5.0,0,0.0
20,01.01.2020 18:30,0,5,-5.0,3.457980667373791,-5.0,0,0.0
21,01.01.2020 18:15,1,5,-4.0,4.785734477251129,-4.0,0,0.0
22,01.01.2020 18:00,1,8,-7.0,5.852998552579947,-7.0,0,0.0
23,01.01.2020 17:45,2,8,-6.0,7.7143897902133745,-6.0,0,0.0
24,01.01.2020 17:30,2,8,-6.0,9.316628730460579,-6.0,0,0.0
25,01.01.2020 17:15,3,8,-5.0,10.922883307149505,-5.0,0,0.0
26,01.01.2020 17:00,3,8,-5.0,12.269346146199213,-5.0,0,0.0
27,01.01.2020 16:45,4,5,-1.0,13.6191835788305,-1.0,0,0.0
28,01.01.2020 16:30,4,8,-4.0,13.917134309340693,-4.0,0,0.0
29,01.01.2020 16:15,5,8,-3.0,15.007284098534395,-3.0,0,0.0
30,01.01.2020 16:00,5,8,-3.0,15.836348654380872,-3.0,0,0.0
31,01.01.2020 15:45,6,8,-2.0,16.66749106625704,-2.0,0,0.0
32,01.01.2020 15:30,6,8,-2.0,17.236899103489446,-2.0,0,0.0
33,01.01.2020 15:15,6,5,1.0,17.807734228534464,1.0,0,0.0
34,01.01.2020 15:00,7,8,-1.0,17.614269903292694,-1.0,0,0.0
35,01.01.2020 14:45,7,8,-1.0,17.922233381483245,-1.0,0,0.0
36,01.01.2020 14:30,7,8,-1.0,18.230968697965,-1.0,0,0.0
37,01.01.2020 14:15,8,8,0.0,18.540477787169767,0.0,0,0.0
38,01.01.2020 14:00,8,5,3.0,18.58694515004488,3.0,0,0.0
39,01.01.2020 13:45,8,5,3.0,17.919243258190356,3.0,0,0.0
40,01.01.2020 13:30,9,5,4.0,17.24986792801038,4.0,0,0.0
41,01.01.2020 13:15,9,5,4.0,16.340719727328704,4.0,0,0.0
42,01.01.2020 13:00,10,5,5.0,15.429292959728024,5.0,0,0.0
43,01.01.2020 12:45,10,5,5.0,14.27748667641907,5.0,0,0.0
